 area_type,availability,location,size,total_sqft,bath,balcony,price,bhk,total_sqft_numeric,price_per_sqft,sqft_per_bhk
Super built-up  Area,Ready To Move,2nd Block Hrbr Layout,3 BHK,1480,3.0,2.0,90.0,3.0,1480.0,6081.081081081081,493.3333333333333
Super built-up  Area,18-Jul,2nd Block Hrbr Layout,3 BHK,1550,3.0,3.0,110.0,3.0,1550.0,7096.774193548387,516.6666666666666
Plot  Area,Ready To Move,2nd Block Hrbr Layout,4 Bedroom,1350,4.0,3.0,235.0,4.0,1350.0,17407.40740740741,337.5
Super built-up  Area,Ready To Move,2nd Block Jayanagar,3 BHK,1718,3.0,3.0,223.0,3.0,1718.0,12980.209545983702,572.6666666666666
Built-up  Area,Ready To Move,2nd Block Jayanagar,2 BHK,1000,2.0,1.0,97.0,2.0,1000.0,9700.0,500.0
Super built-up  Area,Ready To Move,2nd Phase JP Nagar,5 BHK,2800,4.0,2.0,200.0,5.0,2800.0,7142.857142857143,560.0
Super built-up  Area,Ready To Move,2nd Phase JP Nagar,2 BHK,1000,1.0,1.0,55.0,2.0,1000.0,5500.0,500.0
Built-up  Area,Ready To Move,2nd Phase JP Nagar,2 BHK,1040,2.0,2.0,78.0,2.0,1040.0,7500.0,520.0
Super built-up  Area,Ready To Move,2nd Phase JP Nagar,2 BHK,850,2.0,1.0,42.5,2.0,850.0,5000.0,425.0
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1450,2.0,1.0,50.75,3.0,1450.0,3500.0,483.3333333333333
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,2 BHK,1150,2.0,1.0,40.25,2.0,1150.0,3500.0,575.0
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1350,2.0,2.0,47.25,3.0,1350.0,3500.0,450.0
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1350,2.0,2.0,47.25,3.0,1350.0,3500.0,450.0
Super built-up  Area,22-Jun,2nd Phase Judicial Layout,2 BHK,900,2.0,2.0,41.0,2.0,900.0,4555.555555555556,450.0
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1681,3.0,3.0,69.0,3.0,1681.0,4104.699583581201,560.3333333333334
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1350,2.0,2.0,47.25,3.0,1350.0,3500.0,450.0
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,2 BHK,1150,2.0,1.0,40.25,2.0,1150.0,3500.0,575.0
Plot  Area,Ready To Move,2nd Stage Arekere Mico Layout,4 Bedroom,1200,4.0,1.0,130.0,4.0,1200.0,10833.333333333334,300.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,1500,4.0,2.0,220.0,4.0,1500.0,14666.666666666666,375.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6 Bedroom,3000,8.0,3.0,451.0,6.0,3000.0,15033.333333333334,500.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6 Bedroom,2400,8.0,3.0,450.0,6.0,2400.0,18750.0,400.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,1350,4.0,1.0,200.0,4.0,1350.0,14814.814814814816,337.5
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,1200,4.0,1.0,225.0,4.0,1200.0,18750.0,300.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,1500,3.0,2.0,230.0,4.0,1500.0,15333.333333333334,375.0
Plot  Area,Ready To Move,3rd Block Banashankari,6 Bedroom,2400,8.0,2.0,650.0,6.0,2400.0,27083.333333333332,400.0
Plot  Area,Ready To Move,3rd Block Banashankari,4 Bedroom,1200,4.0,1.0,175.0,4.0,1200.0,14583.333333333334,300.0
Plot  Area,Ready To Move,3rd Block Banashankari,5 Bedroom,2400,4.0,1.0,325.0,5.0,2400.0,13541.666666666666,480.0
Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,1056,2.0,1.0,80.0,2.0,1056.0,7575.757575757576,528.0
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,1320,2.0,3.0,90.0,2.0,1320.0,6818.181818181818,660.0
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,1300,2.0,3.0,95.0,2.0,1300.0,7307.692307692308,650.0
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,3 BHK,1650,3.0,2.0,140.0,3.0,1650.0,8484.848484848484,550.0
Built-up  Area,Ready To Move,3rd Block Jayanagar,3 BHK,2150,3.0,3.0,240.0,3.0,2150.0,11162.790697674418,716.6666666666666
Super built-up  Area,Ready To Move,3rd Block Koramangala,3 BHK,2100,3.0,1.0,270.0,3.0,2100.0,12857.142857142857,700.0
Built-up  Area,Ready To Move,3rd Phase JP Nagar,4 BHK,4500,4.0,3.0,345.0,4.0,4500.0,7666.666666666667,1125.0
Super built-up  Area,Ready To Move,4th Block Jayanagar,2 BHK,900,2.0,1.0,70.0,2.0,900.0,7777.777777777777,450.0
Super built-up  Area,19-Dec,4th Block Jayanagar,3 BHK,2005,3.0,2.0,240.0,3.0,2005.0,11970.074812967581,668.3333333333334
Super built-up  Area,Ready To Move,4th Block Jayanagar,3 BHK,1567.2,2.0,0.0,190.0,3.0,1567.2,12123.532414497193,522.4
Super built-up  Area,Ready To Move,4th Block Koramangala,2 BHK,1225,2.0,2.0,150.0,2.0,1225.0,12244.897959183674,612.5
Carpet  Area,Ready To Move,4th Block Koramangala,9 BHK,4500,9.0,2.0,500.0,9.0,4500.0,11111.111111111111,500.0
Built-up  Area,Ready To Move,4th Block Koramangala,3 BHK,1800,3.0,3.0,140.0,3.0,1800.0,7777.777777777777,600.0
Super built-up  Area,Ready To Move,4th Block Koramangala,4 BHK,3400,6.0,2.0,420.0,4.0,3400.0,12352.941176470587,850.0
Super built-up  Area,Ready To Move,4th Block Koramangala,2 BHK,1269,2.0,2.0,97.0,2.0,1269.0,7643.81402679275,634.5
Super built-up  Area,18-Aug,4th Phase JP Nagar,2 BHK,1070,2.0,2.0,38.9,2.0,1070.0,3635.5140186915887,535.0
Super built-up  Area,18-Aug,4th Phase JP Nagar,2 BHK,1080,2.0,2.0,38.0,2.0,1080.0,3518.5185185185187,540.0
Super built-up  Area,Ready To Move,4th Phase JP Nagar,2 BHK,600,4.0,1.0,70.0,2.0,600.0,11666.666666666666,300.0
Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,2401,3.0,2.0,185.0,3.0,2401.0,7705.12286547272,800.3333333333334
Built-up  Area,19-Mar,4th T block Jayanagar,4 BHK,3900,4.0,2.0,333.0,4.0,3900.0,8538.461538461539,975.0
Built-up  Area,Ready To Move,4th T block Jayanagar,4 Bedroom,1550,4.0,1.0,120.0,4.0,1550.0,7741.935483870968,387.5
Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,2100,3.0,3.0,220.0,3.0,2100.0,10476.190476190477,700.0
Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,2400,3.0,2.0,185.0,3.0,2400.0,7708.333333333333,800.0
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,1206,2.0,2.0,56.0,2.0,1206.0,4643.449419568822,603.0
Super built-up  Area,Ready To Move,5th Block Hbr Layout,3 BHK,1270,2.0,2.0,70.0,3.0,1270.0,5511.811023622047,423.3333333333333
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,1312,2.0,3.0,69.0,2.0,1312.0,5259.1463414634145,656.0
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,1100,2.0,2.0,48.0,2.0,1100.0,4363.636363636364,550.0
Built-up  Area,Ready To Move,5th Block Hbr Layout,5 Bedroom,3600,5.0,3.0,130.0,5.0,3600.0,3611.1111111111113,720.0
Built-up  Area,Ready To Move,5th Block Hbr Layout,6 BHK,5100,5.0,3.0,300.0,6.0,5100.0,5882.35294117647,850.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1075,2.0,2.0,60.0,2.0,1075.0,5581.395348837209,537.5
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1150,3.0,3.0,52.5,2.0,1150.0,4565.217391304348,575.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1256,2.0,1.0,62.8,2.0,1256.0,5000.0,628.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1207,2.0,2.0,63.0,2.0,1207.0,5219.552609776305,603.5
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1725,2.0,2.0,100.0,3.0,1725.0,5797.101449275362,575.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1440,2.0,2.0,60.0,2.0,1440.0,4166.666666666667,720.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1700,2.0,3.0,100.0,3.0,1700.0,5882.35294117647,566.6666666666666
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1485,2.0,2.0,67.0,3.0,1485.0,4511.784511784512,495.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,5 BHK,2500,5.0,2.0,110.0,5.0,2500.0,4400.0,500.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,1 BHK,600,1.0,1.0,30.0,1.0,600.0,5000.0,600.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1390,2.0,2.0,65.0,2.0,1390.0,4676.258992805755,695.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1256,2.0,1.0,62.8,2.0,1256.0,5000.0,628.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1000,2.0,0.0,48.0,2.0,1000.0,4800.0,500.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1350,2.0,1.0,75.0,3.0,1350.0,5555.555555555556,450.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,1 BHK,552,1.0,1.0,23.5,1.0,552.0,4257.246376811594,552.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1200,2.0,2.0,51.0,2.0,1200.0,4250.0,600.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1240,3.0,2.0,60.0,3.0,1240.0,4838.709677419355,413.3333333333333
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1550,3.0,3.0,75.0,3.0,1550.0,4838.709677419355,516.6666666666666
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1485,2.0,1.0,66.0,3.0,1485.0,4444.444444444444,495.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1030,2.0,2.0,57.0,2.0,1030.0,5533.980582524272,515.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1200,2.0,1.0,68.0,2.0,1200.0,5666.666666666667,600.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1190,2.0,2.0,61.8,2.0,1190.0,5193.27731092437,595.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,5 BHK,4000,5.0,2.0,170.0,5.0,4000.0,4250.0,800.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1080,2.0,1.0,53.0,2.0,1080.0,4907.407407407408,540.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1041,2.0,2.0,54.0,2.0,1041.0,5187.319884726225,520.5
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,812,2.0,1.0,42.0,2.0,812.0,5172.413793103448,406.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1010,2.0,2.0,57.0,2.0,1010.0,5643.564356435643,505.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1450,2.0,2.0,73.0,3.0,1450.0,5034.482758620689,483.3333333333333
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1075,2.0,2.0,60.0,2.0,1075.0,5581.395348837209,537.5
Super built-up  Area,Ready To Move,5th Stage BEML Layout,3 BHK,2000,3.0,2.0,85.0,3.0,2000.0,4250.0,666.6666666666666
Super built-up  Area,Ready To Move,5th Stage BEML Layout,3 BHK,2000,3.0,2.0,85.0,3.0,2000.0,4250.0,666.6666666666666
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1192,2.0,2.0,74.0,2.0,1192.0,6208.053691275168,596.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1180,2.0,3.0,80.0,2.0,1180.0,6779.661016949152,590.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,4 BHK,3245,4.0,2.0,250.0,4.0,3245.0,7704.160246533128,811.25
Built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,1645,3.0,3.0,100.0,3.0,1645.0,6079.0273556231,548.3333333333334
Built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1140,2.0,2.0,65.0,2.0,1140.0,5701.754385964912,570.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,2040,3.0,2.0,200.0,3.0,2040.0,9803.921568627451,680.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1213,2.0,1.0,63.0,2.0,1213.0,5193.734542456719,606.5
Built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1216,2.0,2.0,60.0,2.0,1216.0,4934.210526315789,608.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1460,2.0,2.0,80.0,2.0,1460.0,5479.45205479452,730.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,2003,3.0,3.0,200.0,3.0,2003.0,9985.022466300548,667.6666666666666
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,1810,3.0,3.0,131.0,3.0,1810.0,7237.5690607734805,603.3333333333334
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,1515,2.0,2.0,135.0,3.0,1515.0,8910.89108910891,505.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1192,2.0,3.0,75.0,2.0,1192.0,6291.946308724832,596.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1280,2.0,1.0,88.0,2.0,1280.0,6875.0,640.0
Built-up  Area,Ready To Move,6th block Koramangala,2 BHK,1117,2.0,1.0,110.0,2.0,1117.0,9847.806624888093,558.5
Super built-up  Area,Ready To Move,6th block Koramangala,3 BHK,3000,3.0,2.0,400.0,3.0,3000.0,13333.333333333334,1000.0
Built-up  Area,Ready To Move,7th Block Jayanagar,5 Bedroom,3000,3.0,1.0,528.0,5.0,3000.0,17600.0,600.0
Plot  Area,Ready To Move,7th Block Jayanagar,3 Bedroom,2400,3.0,0.0,408.0,3.0,2400.0,17000.0,800.0
Built-up  Area,Ready To Move,7th Block Jayanagar,3 BHK,1903,2.0,1.0,293.0,3.0,1903.0,15396.741986337362,634.3333333333334
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1080,2.0,2.0,72.0,2.0,1080.0,6666.666666666667,540.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270,2.0,2.0,93.0,2.0,1270.0,7322.834645669292,635.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1420,2.0,1.0,100.0,3.0,1420.0,7042.2535211267605,473.3333333333333
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850,3.0,1.0,150.0,3.0,1850.0,8108.108108108108,616.6666666666666
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1245,2.0,1.0,94.0,2.0,1245.0,7550.2008032128515,622.5
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1175,2.0,1.0,82.0,2.0,1175.0,6978.723404255319,587.5
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1400,2.0,1.0,95.0,3.0,1400.0,6785.714285714285,466.6666666666667
Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,2225,3.0,1.0,160.0,3.0,2225.0,7191.011235955056,741.6666666666666
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050,2.0,1.0,71.0,2.0,1050.0,6761.9047619047615,525.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1100,2.0,0.0,46.0,2.0,1100.0,4181.818181818182,550.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,918,2.0,1.0,50.49,2.0,918.0,5500.0,459.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1450,2.0,1.0,100.0,3.0,1450.0,6896.551724137931,483.3333333333333
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1190,2.0,1.0,49.98,2.0,1190.0,4200.0,595.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1420,2.0,2.0,96.0,3.0,1420.0,6760.56338028169,473.3333333333333
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680,3.0,2.0,120.0,3.0,1680.0,7142.857142857143,560.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,980,2.0,2.0,69.0,2.0,980.0,7040.816326530612,490.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1180,2.0,2.0,72.0,2.0,1180.0,6101.6949152542375,590.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1050,2.0,1.0,57.0,3.0,1050.0,5428.571428571428,350.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1343,2.0,2.0,56.41,3.0,1343.0,4200.297840655249,447.6666666666667
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1405,2.0,2.0,59.01,3.0,1405.0,4200.0,468.3333333333333
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1400,3.0,1.0,115.0,3.0,1400.0,8214.285714285714,466.6666666666667
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270,2.0,1.0,83.0,2.0,1270.0,6535.433070866142,635.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,4 Bedroom,3300,4.0,0.0,150.0,4.0,3300.0,4545.454545454545,825.0
Super built-up  Area,19-Dec,7th Phase JP Nagar,4 BHK,2503,4.0,0.0,188.0,4.0,2503.0,7510.986815821015,625.75
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2200,3.0,2.0,190.0,3.0,2200.0,8636.363636363636,733.3333333333334
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1250,3.0,2.0,65.0,3.0,1250.0,5200.0,416.6666666666667
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1385,2.0,2.0,58.17,3.0,1385.0,4200.0,461.6666666666667
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1575,2.0,2.0,110.0,3.0,1575.0,6984.126984126984,525.0
